id;Name;Address;Working hours;Y (lat);X (lon)
1;Перекрёсток;ул. Тверская 36/9;8:00-00:00;59.740434; 30.611261
2;Перекрёсток;ул. Ижорского Батальона 6;8:00-00:01;59.735021; 30.612223
3;Перекрёсток;б-р Трудящихся 12;Круглосуточно;59.737333; 30.572155
4;Пятёрочка;ул. Труда 7/5;8:00-23:00;59.748885; 30.606423
5;Пятёрочка;ул. Октябрьская 4А;8:00-23:00;59.742719; 30.617691
6;Пятёрочка;ул. Ижорского Батальона 13;8:00-23:00;59.736266; 30.617598
7;Пятёрочка;ул. Анисимова 5 к5;8:00-23:00;59.733003; 30.605605
8;Пятёрочка;б-р Трудящихся 35;8:00-23:00;59.734243; 30.582637
9;Пятёрочка;б-р Трудящихся 18 к1;7:00-23:00;59.735538; 30.582883
10;Пятёрочка;ул. Веры Слуцкой 46/2;8:00-23:00;59.739456; 30.581373
11;Пятёрочка;Заводской пр. 8;8:00-23:00;59.738652; 30.560803
12;Пятёрочка;ул. Пролетарская 60;8:00-23:00;59.741432; 30.564666
13;Пятёрочка;ул. Пролетарская 19/23;8:00-23:00;59.742049; 30.578260
14;Пятёрочка;ул. Веры Слуцкой 32;8:30-23:00;59.744041; 30.582688
15;Пятёрочка;ул. Павловская 82;5:00-23:00;59.748022; 30.567568
16;Пятёрочка;пр. Ленина 42;8:00-23:00;59.750281; 30.575842
17;Пятёрочка;пр. Ленина 65;8:00-23:00;59.750413; 30.567367
